response_id,course,class_number,student_id,question_number,question_response,clean,anger,disgust,fear,joy,neutral,sadness,surprise,dominant_emotion,theme
52,COM212,5,6438,4,not as of yet,,,,,,,,,,NA
53,COM212,5,6594,4,allow for more time to ask questions,allow for more time to ask questions,0.0191,0.0109,0.0149,0.0053,0.9117,0.0174,0.0207,neutral,"Pace, Content Coverage and In-Class Practice"
54,COM212,5,6575,4,I would like to go over more Java in class.,I would like to go over more Java in class.,0.0166,0.0157,0.0205,0.4844,0.1434,0.3092,0.0101,joy,"Pace, Content Coverage and In-Class Practice"
55,COM212,5,6285,4,,,,,,,,,,,NA
56,COM212,5,6702,4,None.,,,,,,,,,,NA
57,COM212,5,6598,4,I'm hungry,,,,,,,,,,NA
58,COM212,5,6596,4,we need to go over the basics more,we need to go over the basics more,0.0072,0.0075,0.0079,0.0052,0.9534,0.0092,0.0095,neutral,"Pace, Content Coverage and In-Class Practice"
59,COM212,5,6406,4,I would like it if all the content in the textbooks be covered in class as the text itself can be rather verbose. I understand that time constraints might prevent this,I would like it if all the content in the textbooks be covered in class as the text itself can be rather verbose. I understand that time constraints might prevent this,0.0126,0.0801,0.0042,0.0102,0.8741,0.014,0.0048,neutral,"Pace, Content Coverage and In-Class Practice"
60,COM212,5,6588,4,No,,,,,,,,,,NA
61,COM212,5,6577,4,More coding in class. Looking at and reading slides is difficult to focus on sometimes.,More coding in class. Looking at and reading slides is difficult to focus on sometimes.,0.0401,0.4183,0.081,0.0023,0.208,0.2285,0.0217,disgust,"Pace, Content Coverage and In-Class Practice"
62,COM212,5,6405,4,nope,,,,,,,,,,NA
63,COM212,5,6286,4,"I am still quite behind in most of my classes because of the flu and just arriving on campus later than everyone else, I'm hoping that i can have a bit of grace with assignment flexibility in due dates so that i can catch up and be at the same pace as the rest of the class.","I am still quite behind in most of my classes because of the flu and just arriving on campus later than everyone else, I'm hoping that i can have a bit of grace with assignment flexibility in due dates so that i can catch up and be at the same pace as the rest of the class.",0.006,0.002,0.0083,0.3119,0.5593,0.0778,0.0347,neutral,Assignments and Grading
